4226,2,0,0.018413992,0.04746711,0.022160531,0.087836693,0.083115912,0.107383117,0,0,0,0,0,0.031527696,0.126059946,0.073232331,0.035381606,0,0,0.022961998,0,0.047363554,0.012116711,0,0.122193773,0,0.03168521,0,0.088628077,0.139272573,0.018294086,0.113260725,0.060087833,0.048110518,0,0,0,0,0,0.04244738,0.018967198,0,0,0.065649596,0,0.013094768,0.010784384,0.066199804,0.05339595,0.043953844,0.059905793,0.013410613,0.060245347,0.102211324,0.038356109,0.065139447,0,0.05222468,0.038896234,0,0,0.042282236,0.103771474,0,0,0,0,0,0.012779468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008006365,0.010374522,0.084211696,0.106283791,0.003800365,0.03231472,0.047544504,0.015648236,0.029938932,0.00245741,0.028263781,0,0.000104514,0,0.076275508,0,0,0.014774824,0,0,0,0,0,0.009701954,0,0,0.07858889,0,0.096297472,0.020675596,0.072133005,0,0,0.019755857,0.025038837,0.000970022,0.086638716,0,0,0,0,0,0.046835964,0.026775304,0.070916497,0.039962586,0,0.078215271,0.028823528,0.037156497,0,0.019420391,0.106797755,0.066513469,0.024742068,0.039622487,0.016472594,0.034217966,0.006954456,0.035253796,0.015553945,0.143395183,0.097225386,0,0.041656541,0.068103323,0.018184535,0,0.023823419,0.024790303,0,0.00196116,0,0.060774844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142376,0,0,0.017633781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062933164,0,0,0,0,0.129744079,0.151073571,0,0.021387678,0.026882402,0,0.022840457,0.006373181,0,0.040337022,0.018121856,0.017848251,0,0,0.01047617,0.064459794,0,0,0.005179019,0.038421785,0.014934518,0.076878312,0,0,0.043426799,0,0,0.027015389,0,0,0,0.002357942,0,0,0,0.025075899,0,0.07217906,0.09011274,0.038649881,0.056655232,0.056575657,0.021250603,0.005072466,0.021713879,0,0,0.007362411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021551187,0.045889792,0.05092996,0.036278998,0.008188405,0,0,0,0.038353111,0.107422632,0,0.020678866,0.034957845,0,0.005792724,0,0.054279172
4722,0,2,0.035423573,0.070657335,0.021162308,0,0,0,0,0.02747812,0,0,0,0,0,0,0.024997959,0,0,0.005558361,0.013627263,0,0,0,0,0,0.133545121,0,0.016285376,0,0,0,0,0,0,0,0,0,0,0,0.020181798,0,0,0,0.022897957,0.008510245,0.008031163,0,0,0.014570438,0,0.038966271,0,0,0.05841786,0.015840631,0.025917698,0,0,0,0,0.185880574,0.063018734,0,0,0,0,0,0,0,0,0,0,0.02980867,0,0,0,0,0,0,0,0,0,0,0.023797803,0.009122042,0.003648302,0.11809787,0,0,0,0,0,0.090140264,0.147272256,0.035198203,0.00854649,0,0.178050122,0.025726665,0,0,0,0.08025641,0,0,0,0,0.977004443,0.042185493,0.064231972,0.066227328,0.271939237,0.40832328,1.127100906,1.052256788,0.002886349,0.003438465,0.00859418,0.016508839,0,0,0,0,0,0,0.011584489,0.013834647,0.134115768,0,0,0,0,0,0,0,0,0,0,0,0.061452317,0,0,0.041643732,0,0.042051143,0,0,0,0.075559066,0.057014134,0,0.040044886,0,0,0.02733614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034492934,0,0,0,0,0.039603139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096958594,0.056603454,0.005407932,0.004581939,0,0,0,0.054380548,0,0,0,0.212908086,0.030555362,0,0,1.302468793,0,0.036203512,0,0,0.016915976,0.540323099,0.567661551,0.038441406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063614452,0.028198105,0,0,0.002814405,0.05886424,0,0,0.105255319,0,0,0,0,0,0,0,0.002285726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164615396,0.137524933,0.310281852,0.278996563,0.15209196,0,0,0,0.181875146,0.109705492,0,0.332299172,0,0,0,0,0
33-16,0.018413992,0.035423573,2,0.044936534,0.024360819,0.11407282,0.00191565,0.013668958,0,0.053567907,0.006417874,0,0,0.040061237,0.026394055,0.04048527,0.024991692,0,0,0.018829033,0.014765559,0,0.064525198,0.034394283,0,0,0.059981552,0,0,0.042506243,0,0,0.101355899,0.041459512,0,0,0,0,0,0.005579889,0.00186251,0.052870268,0,0,0,0,0.120649975,0.021778192,0.014849766,0.787297351,0.035399592,0.018510463,0.008956353,0.047183421,0.054901597,0,0.038883154,0,0.034763269,0,0,0.046619042,0.091168736,0,0,0,0,0,0,0,0,0,0,0.033388702,0,0,0,0,0,0,0,0.018584042,0.004641074,0,0.066140396,0.022392714,0.009288549,0.018056725,0.087317551,0,0,0.02138032,0,0.04572492,0.034869822,0,0,0.020942388,0.018567963,0.025109963,0,0.394380858,0.047459207,0.055069738,0,0.035422211,0.042118726,0,0.048604315,0.00280623,0.066057006,0.052333686,0,0.106457383,0.045481836,0.05136762,0.075216514,0.07470037,0.053836335,0.007727582,0,0,0,0,0,0.079329041,0.014401479,0.020772066,0.040255268,0,0.024713454,0.018204701,0,0,0.054126291,0.047420509,0,0.032970391,0.019084107,0.01523919,0.030313913,0,0,0.048657456,0.008705639,0.014956865,0,0,0,0.055484779,0.042433754,0,0,0.007211165,0,0,0,0.001558383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019986678,0,0,0,0.008120821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070245837,0.00554964,0.027148377,0.041659538,0,0,0,0.057807971,0.016415366,0,0.053397585,0.130569528,0.050540808,0,0.001790838,0.019559101,0.031723089,0,0.042945265,0,0.021793181,0.009391832,0.008574014,0,0.056035532,0.040483908,0.022384539,0,0,0,0,0,0.00792679,0.012085645,0.033465551,0.025492847,0.007763009,0.004594747,0,0.067347093,0,0,0,0,0,0,0,0.041077173,0.061982904,0.028568726,0.022661142,0,0.042907658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014594964,0.03214249,0.036114399,0,0,0,0,0.019759127,0.038874706,0.061322327,0,0.018224594,0.054250285,0,0,0.086232668,0
38-11,0.04746711,0.070657335,0.044936534,2,0,0.12145553,0,0.096745487,0,0,0.003499508,0,0,0,0.042933274,0.060916007,0.004370739,0,0,0.005304376,0.533844596,0.026577457,0.054510537,0.088169979,0.099347462,0.033363903,0.070263823,0,0.222815921,0.095442592,0.075567241,0.035704264,0.372369806,0,0,0,0,0,0.10128995,0.048215164,0.042971699,0.100160102,0.026775849,0.028305476,0,0,0,0.069144331,0.062597426,0,0.053846418,0.053591616,0.059145748,0.00397641,0.070830382,0,0,0,0.063968995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028630859,0.06298794,0.038334853,0,0.036754265,0.104969178,0.039445625,0,0,0.043473399,0,0,0,0.032818055,0,0,0.000479495,0.035689548,0.035822263,0,0,0.069798367,0,0.054232027,0.08069407,0.00697871,0.098860477,0,0.039977575,0.047294335,0.039140135,0.081836181,0.059268108,0,0,0,0,0,0,0,0,0.021250058,0.003050676,0,0,0.067882858,0,0,0,0.033123817,0,0.363839808,0.15908252,0.282238676,0.064131414,0,0,0.014544004,0.001101102,0.151223182,0.019363708,0,0.101676649,0.003289672,0,0.013877159,0,0.034296995,0,0.042065858,0,0.17275815,0.066169282,0,0.063473017,0.075363127,0,0,0,0,0,0.050064997,0,0.072364643,0,0,0.094254698,0,0,0.013863534,0,0,0,0.048009142,0,0,0,0,0,0,0,0,0,0,0,0,0.016918156,0.02101079,0.034373845,0,0.011653163,0.015906853,0.440881488,0.153026142,0,0.065460198,0.015481729,0.723024915,0.068973191,0.076236539,0,0.233279141,0.009086615,0.01491735,0,0,0,0.027420892,0,0,0.02559722,0,0,0,0,0,0,0,0,0,0,0.045044995,0.010289497,0.012551373,0,0,0.005216627,0.644787711,0.027139384,0.008662581,0.013624538,0.114617578,0.118430338,0.118579677,0.065933557,0.098819055,0,0,0.021987757,0.044414939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031897227,0.007401108,0.086074882,0.070126748,0.086597839,0,0,0,0.093947573,0.078929806,0,0.118088059,0.04217541,0,0,0.010748958,0.114146672
A188,0.022160531,0.021162308,0.024360819,0,2,0.04410945,0.068918416,0.01192159,0,0.000620385,0,0,0,0.014125421,0.05501578,0.037517035,0.093444238,0,0,0.026772306,0,0,0.043243942,0,0,0,0.00199795,0,0.004154362,0,0,0.003759215,0,0.011555875,0,0,0,0,0.08742901,0,0.06016659,0,0,0.148663719,0.062959053,0.081687387,0.020699032,0.058717082,0.038816932,0.032961126,0.054330677,0,0,0,0.118546975,0.026371981,0.040569478,0,0.046750667,0,0,0.144601335,0.090413324,0,0,0,0,0,0.013995431,0,0,0,0,0,0,0,0.023044298,0,0,0.025787981,0,0,0,0,0.097737987,0.071692893,0.125583862,0.055300831,0,0,0.001374435,0.003227538,0,0.014981936,0.047543959,0,0.055398664,0.044680642,0.095871803,0.040683661,0.010191664,0,0,0,0,0,0.019311385,0,0.066696054,0.025018398,0.063470292,0.008313762,0.0692765,0.079529612,0.032288831,0.038022006,0.090790212,0.05280868,0.084365667,0.035204743,0,0,0,0.00366438,0,0.009747192,0,0.001856242,0.041483766,0,0.032275205,0,0.046231798,0,0,0.021484694,0.050026845,0.033206935,0,0.00105423,0.071602145,0,0.047304963,0.037677274,0.041676707,0.078068113,0,0,0,0.038858082,0.045722467,0.011838746,0,0,0,0.070907231,0.064890368,0.006067964,0,0.072121832,0,0,0,0,0,0,0,0,0,0.008093024,0,0,0,0,0.011906057,0,0,0,0.016750832,0.066537995,0,0,0,0,0,0,0,0.002739463,0.029322776,0.029570219,0.02155255,0,0.053695444,0,0,0,0,0,0,0,0.003832794,0.010548386,0,0.074340923,0.02132391,0,0,0.006213487,0,0.00743817,0,0.014896911,0,0.055945057,0.053143329,0,0.008658221,0.015921568,0,0,0.003275228,0.016944318,0,0,0.030978305,0.087100357,0.050412726,0.025881999,0.055002972,0.035352992,0.026019619,0.056748432,0,0,0.063399165,0.005486417,0,0,0,0.061839561,0,0.05680893,0,0.021785278,0.026738786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082208164,0.060611607,0.141803421,0.046117342,0.064496039,0,0,0.029838919,0.098933784,0.093072527,0,0.14405794,0.003057761,0,0.009984552,0,0
A239,0.087836693,0,0.11407282,0.12145553,0.04410945,2,0,0.035859325,0,0.044092009,0.05012604,0.0244314,0,0,0.092306759,0.471132309,0.087241792,0.008309674,0,0,0,0.05061793,0.06168777,0.068030289,0.038156083,0.040693744,0.000373759,0.016788712,0.105846132,0.094531574,0.100752278,0.291404452,0.081502622,0.008558208,0.049092663,0,0,0,0.23360616,0.051958705,0.002535077,0.200504829,0.081795848,0.14688692,0,0,0.055319362,0.241367665,0.205291013,0.048200175,0.042252804,0.004456309,0.036945843,0,0.131496897,0,0,0,0.0401667,0.052000127,0.057604402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01652846,0.083727164,0,0.000797793,0,0.018216964,0.050111052,0.045554598,0,0,0,0,0.042786661,0.060148604,0,0,0,0.015287153,0.032260489,0.069400767,0.041054282,0.013432415,0.023638926,0,0,0.013245742,0,0.028436284,0.006761515,0.026552659,0,0,0.030793268,0.037754941,0,0,0,0,0,0,0,0,0,0.035255704,0,0,0.017145162,0,0,0,0.010771304,0,0.347439026,0,0.010447556,0,0,0,0.028207098,0.04963524,0.497114998,0.059122857,0,0.01286313,0.016037115,0,0,0.010672381,0,0.013988073,0,0,0.153228893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023037213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042484714,0.037497141,0,0.02827877,0.051412312,0,0.069437012,0.208198751,0,0.022429231,0.021819615,0.091535541,0.047994154,0.106305047,0,0.325611922,0,0,0,0,0.020063799,0.124331927,0.011056355,0.008941364,0.072528969,0.045643983,0,0,0,0,0,0,0,0,0,0,0,0.017668391,0,0,0,0.089984112,0,0.042393694,0.12518599,0.156513247,0.391375288,0.391906148,0,0.086691311,0,0.006241556,0.010470447,0.091880818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034035926,0,0,0,0,0,0,0,0.038645793,0,0.001728705,0.012039862,0,0,0.02258075,0.391822485
A441-5,0.083115912,0,0.00191565,0,0.068918416,0,2,0.007942051,0,0,0,0,0,0,0.003880212,0,0,0,0,0,0,0,0.008895309,0,0,0,0.029150546,0,0,0,0,0.000237501,0,0.026805008,0,0,0,0,0.017446291,0,0.019026879,0,0,0,0,0,0.006494723,0,0.012632855,0.008837263,0.011359664,0,0,0.025356317,0,0.033380254,0.012935619,0.030995474,0.016293552,0,0,0.002663704,0.00349106,0,0.034897619,0.02213001,0.051003812,0.041701778,0.030541736,0.102998076,0.03703441,0,0.05307411,0.042922646,0.047602822,0.032844762,0.022727363,0.042849885,0.054496366,0.053016882,0.040734894,0.021632124,0.03805825,0.015391254,0,0.09312267,0.048352239,0.02545415,0.036265918,0.045849187,0.001973151,0.065937917,0,0.105390759,0.008998592,0.109889712,0.000371579,0.030094811,0,0.016483495,0.036428609,0,0,0,0,0,0,0.049201396,0.023419824,0.063082503,0.14357804,0,0.034546347,0.053650752,0,0.015042707,0.041867467,0.019070481,0,0.010012621,0.035401227,0.009328336,0.059256389,0.045162176,0.002937855,0.074746698,0.025919333,0,0,0.048175649,0,0.099846165,0.014019685,0.044090919,0,0.047416422,0,0,0,0,0.013370281,0.021969771,0,0,0,0,0,0,0,0.032665719,0,0.028232442,0.016609124,0,0,0.023892093,0.015509798,0,0.017454194,0.041359499,0,0,0,0,0.011553967,0,0,0,0,0.034177361,0.024088849,0,0,0,0.000143484,0,0,0.009519369,0.024445844,0.03608088,0,0,0,0,0.019728061,0.026440927,0.041700688,0.017149249,0,0,0,0,0.007595957,0,0,0,0,0,0.001424305,0,0,0.038235112,0,0.016185363,0,0,0,0.029627175,0.014626849,0,0.037447271,0,0,0.03998575,0.036878804,0,0.044662111,0,0.058319755,0.04428168,0.032945865,0.051269514,0.049131632,0.026891122,0,0,0,0,0,0,0,0.00393417,0,0,0,0,0.024135449,0,0,0.025125497,0,0,0,0.103113894,0,0.020065162,0.025701321,0.031042074,0.030023412,0.053106539,0.038101307,0.040299142,0.04030105,0.014472605,0.014365779,0.013649882,0,0.022363283,0.020977815,0.023767008,0.024332205,0.017576826,0.052891252,0,0.009323431,0,0.007419367,0,0.023463699,0.035516773,0.090183866,0.01002761,0.036290444,0,0,0,0.023069369,0.022944557,0,0
A554,0.107383117,0,0.013668958,0.096745487,0.01192159,0.035859325,0.007942051,2,0,0,0,0,0,0.042043512,0.337942689,0.043383197,0.045058075,0,0,0.041566066,0.032771728,0.011410079,0.042624242,0,0.071895099,0,0.012060846,0,0.09891498,0.130483413,0.019042957,0.038163168,0.266705582,0.058931551,0,0,0,0,0.027978731,0.018321065,0,0.004873257,0,0.061820212,0,0,0.058155155,0.060539118,0.295495177,0.011205148,0.016169285,0.021408389,0.066335517,0.040161795,0.00751502,0,0,0,0.0090471,0,0,0.075994545,0.026537398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075218967,0.100221418,0.249340097,0,0.041151843,0.069200741,0,0.053960602,0,0,0,0,0,0.034904432,0,0.001225097,0.031852807,0,0.407766259,0.014550544,0,0,0.016097341,0,0,0.058735613,0,0.010593624,0,0.029159539,0,0,0,0.050815504,0,0.002460953,0,0,0,0,0,0,0,0,0,0,0.012274225,0,0.049961441,0.029137738,0.46853306,0,0.142422031,0,0.014885738,0,0,0,0.064693067,0.014700428,0.006262267,0.105528379,0,0.007458064,0,0,0,0.035712712,0,0.006370183,0.00644894,0,0.075640003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047149357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041401194,0,0,0,0.050184631,0,0.127939211,0,0.25227018,0.087377505,0.13374433,0,0,0,0.078169761,0,0.004862357,0,0,0,0.097180149,0,0,0,0.045580214,0,0,0,0,0,0,0,0.134513913,0,0.007978296,0.118277185,0.088872796,0,0,0,0.022467383,0,0.058353819,0,0.195364648,0.03527587,0.033059776,0.604811367,0.591761705,0,0,0.031085131,0.050917969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024056147,0,0,0,0,0.033608077,0.025991822,0,0,0.041353231,0,0,0,0.030534378
A6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.001630599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032458063,0.019262332,0.015575474,0,0,0,0,0,0.132989463,0.110127073,0.177631539,0.227260098,0.222688928,0.218091052,0.204170976,0.196808978,0.171018958,0.232229958,0.155083359,0.160068752,0.179494998,0.189979747,0.228110073,0.193897698,0.19272343,0.254532874,0.112427646,0.087267954,0.113359376,0,0,0,0,0.000243769,0,0,0,0,0,0,0.07882734,0.026995223,0,0,0.005412838,0.002390372,0,0,0,0,0,0,0.183642952,0,0,0.038653151,0,0,0,0,0,0,0,0.030858126,0,0.168698218,0.028626772,0.243448318,0.225157371,0.186061524,0.004387635,0.02514975,0,0,0.041606943,0,0.077253565,0,0.095742359,0,0,0,0,0,0.035143973,0,0.075834034,0,0,0,0,0,0,0,0,0,0.018916783,0,0.002622282,0,0,0,0,0.064985204,0,0,0.158266337,0.156336657,0.154086226,0.329888775,0.243750265,0,0,0,0.042640593,0.058648135,0,0,0,0,0.146846043,0.203030227,0.343115027,0,0,0.160731509,0.153928985,0.271799709,0.161454492,0.363624793,0.203536561,0.347521598,0.03957616,0.017248445,0.018030018,0.16483368,0,0,0,0,0,0.061621276,0,0,0,0.021211906,0,0,0,0,0,0,0,0,0.037789005,0.043697679,0,0,0,0,0,0,0,0.072124284,0.165751512,0.143962014,0.136342217,0.220122925,0.119441642,0.023100709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022574209,0.059308712,0.325985812,0.182968204,0.192801097,0.22217769,0.284720472,0.257748008,0.140495076,0.158793109,0.139413736,0.159825669,0.175132302,0.212263315,0.166470407,0.213956724,0.154808937,0.204220029,0.156179415,0.201387233,0.232962751,0,0,0,0,0,0.178354794,0.195749167,0.022342844,0,0,0.228888104,0,0,0.229847358,0.213240827,0,0
A619,0,0.02747812,0.053567907,0,0.000620385,0.044092009,0,0,0,2,0,0,0,0.009224508,0,0.187055932,0.112121339,0,0,0.100769991,0,0,0.067949079,0,0,0,0.027084608,0,0,0,0.033837807,0.007175466,0.035266604,0.015735168,0,0,0,0,0.126403043,0.047232202,0.080751298,0.347394878,0,0.010306665,0.0591264,0,0.020452679,0.022226207,0,0.037827157,0.00792025,0,0,0.019780384,0.064658731,0,0.027351401,0.057009502,0.002400455,0.032775816,0,0.07438398,0.035609429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082536,0.076558924,0.062462803,0.030560812,0,0.104445131,0.02371414,0.091951945,0,0,0,0,0,0,0.034734655,0,0,0,0,0.063453396,0,0.721387644,0.455525364,0,0,0,0,0,0,0.018850289,0,0.002980912,0.001267881,0,0,0.030914264,0,0,0,0,0,0,0,0,0.055735221,0,0.175709762,0,0,0,0,0,0,0,0.00442388,0,0.037858224,0,0.021496684,0.181798569,0,0,0,0,0.017338647,0.04921802,0,0,0,0,0,0.049600904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052940305,0,0,0,0.018564693,0.036914504,0,0,0,0,0,0,0,0,0,0,0,0,0.077637539,0.673812487,1.672563501,1.56666655,0,0,0,1.242116488,0,0,0.394315182,0.085463903,0.3106522,0,0.182774718,0.031834276,0.007448526,0,0,0.076075482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014532286,0,0,0,0,0.271298553,0.209862456,0.316265195,0.009358312,0.315645768,0.087309648,0.082881549,0.081428498,0.091122953,0,0,0,0,0.102338861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680212,0.001839891,0.081276707,0.029389269,0,0,0,0,0.093346132,0.047119925,0,0.094595342,0.016775086,0,0,0.630348494,0.080429185
