taxa,PC1,PC2,PC3
4226,2.27969053169436,-14.819326471354,2.45895447189477
4722,3.37316749482930,-41.3523507116632,-9.66600904656838
33-16,0.539686032708308,-18.5604606303127,6.66191533384304
38-11,17.2022902572593,-25.8778890986173,-5.02073062269017
A188,-0.55328156978829,-20.7769021518626,-2.65951428785416
A239,15.6447762242717,-18.5689116537647,10.7707873073372
A441-5,-12.3312422810419,-4.95532597066225,1.21508143627321
A554,2.41681636189634,-18.5268716914881,2.01658712699695
A6,-41.4510437003768,30.9440469455813,3.50807196188044
A619,13.6116357970861,-45.6523143414429,-8.6151516134327
A632,69.0505498561622,19.6254001217315,92.7505635424254
A634,61.4749413122094,20.0896461925144,85.207921519655
A635,68.2514750003038,23.3859271952233,82.597117390763
A641,42.5526373517789,7.27160997622799,62.3755414858982
A654,-2.41811697473711,-16.8096610209661,9.62120097839767
A659,11.498065795534,-20.4953353436090,8.06308381520333
A661,7.96992567663122,-18.3980588533306,5.32965275923705
A679,97.4630895774516,60.7856483385235,-41.570771149057
A680,115.013212641079,72.6830036831423,-40.8868811591304
A682,8.52082715006254,-32.7445769900266,-21.3671608059186
AB28A,-0.719224829724419,-12.2978120655708,-4.33543041205636
B10,44.4631504453879,12.3651405024387,20.9141009673399
B103,18.0520312397174,-18.8951592871432,6.94471496138126
B104,63.3780185012516,26.0515077334573,4.60426847369368
B105,31.7357061856893,6.00593354352483,-1.20049015430469
B109,98.1787279737044,62.1758104520845,-34.3472797230069
B115,7.71618668854206,-27.3052563047479,5.45839319851267
B14A,87.0001747800765,37.2072980208303,96.8455976519126
B164,17.1028769172573,-11.8448512493988,3.92286588123104
B2,8.8315127297801,-11.3276121758880,2.05377437276139
B37,51.066177761049,10.9439987073327,-23.9546875083828
B46,29.9994483936105,-12.3737539182113,22.4785581691039
B52,13.1710670655713,-14.4955681812690,-6.60259411426749
B57,-0.0431496258148301,-13.9188584817896,3.40562236547385
B64,44.6582830978805,26.8178451429401,79.7985473199829
B68,61.7947589315938,27.6600317649518,92.3411384010706
B73,121.361402137173,78.3082649018625,-44.5760855549188
B73HTRHM,119.810813531922,77.203680137029,-44.0833819967267
B75,11.0077685792877,-17.1004371820516,2.0768781762543
B76,37.0049393021264,7.61711585762717,-25.0457787427674
B77,-4.30011294910767,-19.7706686337861,-6.00950922497539
B79,23.3999955353103,-16.9595796643567,22.6404547835497
B84,68.951232377517,28.0064432520712,5.3019443455456
B97,12.8064365100848,-18.9675823123402,1.26852188746071
C103,0.607414446283135,-43.1907627318988,-40.410827420218
C123,-2.21601378534248,-31.3112917192498,-25.1329786464038
C49A,8.88183289063698,-16.7968636735451,13.3302477830789
CH701-30,11.1865818306847,-15.6327364371529,9.62020606696074
CH9,4.39352227009561,-20.3707990064674,11.0498008851123
CI.7,9.0545647642549,-17.8169997312707,6.3864746810237
CI187-2,24.4575861868272,-8.01980465745977,-21.3981206034845
CI21E,23.9115595933209,-2.87454903119258,9.06456778586185
CI28A,-3.69662733915426,-5.08161588041053,1.41241627040286
CI31A,0.504381342492437,-12.2915750048445,-0.339863230911142
CI3A,7.72056259548052,-20.8976862699014,8.36714985290405
CI64,-12.0427643576867,-9.12691816637478,7.3131675867717
CI66,-11.0323429337634,-9.26313188175894,1.85995734919294
CI90C,-4.23940733508308,-8.4333439118466,3.56978214134837
CI91B,23.5940606571852,-7.28516047772855,-19.0464797357961
CM105,60.4183345878035,11.7479885853699,78.0171510497866
CM174,60.8569239855286,12.2023816294048,78.2247881471998
CM37,7.1032340361259,-39.5824729883379,6.1368568141842
CM7,3.15504153543094,-19.6486138922293,3.90761229062667
CML103,-28.4443047247745,16.5520484388291,1.23655225263918
CML108,-32.3801584673842,16.1101891653692,-1.96165862697317
CML11,-46.7573934088388,28.7877427440688,6.45192152929623
CML154Q,-42.0533242539554,27.0422448310243,4.45609605388249
CML157Q,-39.2407338485009,24.6315168823937,9.4428987006882
CML220,-39.5990921487538,25.1075621395249,6.8126694322359
CML238,-43.1132560612287,23.1003869147331,1.86639288134997
CML247,-48.2631230040717,26.1220437274187,6.50580061904978
CML254,-42.6756086592909,26.3722202830191,1.56523368022172
CML287,-39.7000399768717,24.3440534757944,6.3556748573852
CML311,-34.8520035282629,17.4096660077437,5.2935419571935
CML314,-41.7576067395886,22.7227351662220,5.05467622076501
CML322,-34.2727920138921,23.6203367084638,16.3919405933803
CML323,-26.0716812251988,14.5553905730122,2.76817804580615
CML332,-43.273186186356,30.0580251614229,9.42503908061675
CML333,-35.0332013398067,22.2971808114377,3.22450144953996
CML38,-43.7245584753935,25.4575565350773,3.81538764403916
CML52,-42.2570525605830,30.2281453262408,2.99685990155807
CML77,-30.8448301923344,17.7853823150982,2.62515553019787
CML91,-29.0410370337497,16.8423011101096,5.13657048960568
CML92,-26.0587570019575,20.5983658949684,7.30951535839559
CMV3,7.90020197280536,-21.8491737060661,18.3470570884264
CO106,3.42002061770078,-21.3654844728998,7.19735288357448
CO125,2.96675461381161,-15.1139005220453,-1.36006483816179
CO255,-3.35624880740796,-28.4155568176702,0.339730090386679
D940Y,-5.53861414757302,-9.05078113623013,2.77914235023371
DE_2,4.87786277251493,-15.5466299241531,-2.71490989522939
DE_3,15.7508966605364,-10.1661436060119,-13.1477240888512
DE1,2.17424708780061,-19.1283655315624,-3.31180133387562
DE811,38.5183301791085,13.3478348582332,45.7140527703544
E2558W,-6.61531688371713,-12.2252961564499,4.91385643766151
EP1,-7.90462346833604,-23.6966776909844,-3.92519010844637
F2834T,-22.9701094620291,4.70800932768331,5.12221768197913
F44,-7.51340682929911,-3.38810962201986,3.4383038797384
F6,-8.27892503868296,-8.90837294401254,-2.77717967269947
F7,-2.76592155150388,-31.2338841081322,-2.78747470281573
GA209,-1.72653430363933,-12.3367553458675,5.10280132912716
GT112,-16.0254279048464,-5.87815896040692,-1.50943344599051
H105W,46.5932251805808,8.86717167333648,70.202434030474
H49,1.32474180828214,-24.4503036597489,16.2993054080941
H84,33.9013163125746,-2.35197963033326,-7.35758730737579
H91,79.4128993956391,32.5185847963639,94.509391108318
H95,2.12119398329363,-25.4077690921488,-9.47627081053748
H99,5.83681493370108,-25.8498819774585,-7.65478988993297
HI27,-18.0138659764945,27.5487786431828,26.2918669461956
HP301,4.66181837174261,-44.9564006171613,-21.2322871961545
HY,33.2727563168491,-8.97316969188696,3.03369800589784
I137TN,-18.2654958372803,-1.05630904458668,1.24652467324153
I205,21.7790985006998,-14.7474696981993,10.3358193150613
I-29,3.45471888014171,-23.5585131044781,2.29996883085788
IDS28,2.14570995446333,-35.5128875755156,-8.25455256697942
IDS69,3.55985465879747,-45.5400224081522,-19.6996582261194
IDS91,3.79325674886289,-46.5614464086672,-21.4269578081925
K148,-2.97975117901372,-17.4026559201936,0.100007964697440
K4,8.08719530323141,-12.6995789488284,2.11224165057442
K55,-5.2296223058318,-12.3558196398406,-0.762540468702893
K64,0.548189601422088,-15.7598448667146,8.6558544115852
KI14,-39.6260454763586,24.6411328063451,-0.881663506153556
KI21,-23.7438487927336,3.62227470892438,-15.4389582758751
KI3,-44.2774134819482,32.1924089447252,-1.44547266799693
Ki43,-39.7941183391944,20.0030178150937,1.63632747584273
KI44,-34.7964410300454,22.1705289342503,-3.45756055069526
KY21,4.32057518334561,-11.0933462805108,4.91762457545457
KY226,-4.37526628346653,4.98952699386932,-6.00875209123802
KY228,1.94966059412558,-11.2037312212398,2.20632366982674
L317,0.897919085379582,-24.8182220726621,8.68419497474454
L578,-16.1636743332895,1.37733409040233,-5.12429129788218
M14,17.0829704724986,-23.3763244946458,3.39776511617623
M37W,-19.5590224424008,1.10879160399247,7.34412384773304
MO17,7.81837619076404,-32.1236088974932,-37.059506615258
MO18W,-29.2366396714348,2.64258788919644,3.95654661484383
MO1W,-6.48890819264507,-17.7653461847217,14.6459420723878
MO24W,-6.42218720552758,-8.84317960091807,0.654074782800799
MO44,14.7539731853461,-19.2374074570200,0.79566178312791
MO45,-0.268157224028858,-5.27164889915925,-3.34571322966244
MO46,8.32774742447837,-11.2113328033136,-4.94343604905861
MO47,-0.6212379575688,2.78509241974811,1.82714771703499
MOG,2.49812611083882,-21.8013818635636,10.2734549475127
MP339,-13.6167457584643,-0.172696924782662,7.90055416452957
MS1334,-0.721162342280856,-18.9989858889768,-4.43531779429352
MS153,10.6946933002267,-26.6581156609304,2.65515329453173
MS71,12.0901050755176,-21.2396620965069,7.00889302444816
MT42,4.57574921014365,-16.7828501822706,3.46049604002474
N192,102.016610157270,60.9491555663798,0.780215804383698
N28HT,32.6065352841996,6.23561041583837,8.68081191899458
N7A,40.0097694472278,1.13441230752874,26.8815155859243
NC222,-2.73266984292103,-16.1807315364932,4.19482260287569
NC230,-2.74179250398458,-12.6382644474717,-6.41852177556957
NC232,-7.86571603370492,-5.52609346254918,3.36490643243576
NC236,1.19904460592930,-14.1623316688548,-3.8874004995076
NC238,-10.9584713631268,-5.47922445297182,4.49455195699673
NC250,23.6909810996614,20.0848763183472,-41.7650470285563
NC258,3.76850581146231,-46.9776585743899,-42.2273681884859
NC260,8.3527099799876,-20.6710890694004,-8.48741589424685
NC262,-0.649735499751315,-44.2186502300904,-48.7981426472368
NC264,-25.4276627001453,-1.40576010711300,3.48388203780807
NC290A,-0.978645102733022,-45.7666633694732,-52.9140120593311
NC294,80.9294800045503,51.5007935827078,-61.1723230837458
