Plot,plot_id1,stock_seed_id,plot_block,plot_rep,StalkLodgingRawcount,Stand_count,Success.lodged,Failure.number_not_lodged,PC1,PC2,PC3,disease
CM174,16GD0061,Ames_19316_,4,1,0,16,NA,NA,60.85692399,12.20238163,78.22478815,1655
K55,16GD0062,Ames_22754_,4,1,23.52941176,17,4,13,-5.229622306,-12.35581964,-0.762540469,1992.5
T232,16GD0063,PI_550522_,4,1,0,20,0,20,3.951456921,-1.069914285,13.02710897,1285
NC316,16GD0064,Ames_27154_,4,1,0,19,0,19,NA,NA,NA,1412.5
CML77,16GD0065,Ames_28185_,4,1,26.66666667,15,4,11,-30.84483019,17.78538232,2.62515553,2390
W117HT,16GD0066,Ames_8399_,4,1,100,14,14,0,0.145942527,-14.01804789,-1.245258452,2135
CQ184A,16GD0067,011:196-1,4,1,0,6,NA,NA,NA,NA,NA,2312.5
TX303,16GD0068,Ames_19327_,4,1,0,15,0,15,-20.18653563,2.3379786,0.526028213,962.5
CI66,16GD0069,PI_587148_,4,1,0,18,0,18,-11.03234293,-9.263131882,1.859957349,725
PA91,16GD0070,PI_587147_,4,1,0,18,0,18,11.77687764,-38.3191823,-3.671888543,965
TZI16,16GD0071,PI_540747_,4,1,0,0,0,0,-15.35285878,13.71410672,0.687895998,1045
OH603,16GD0072,PI_573098_,4,1,0,18,0,18,-11.151595,-1.563932331,-3.751195799,NA
B14A,16GD0073,Ames_27124_,5,1,16.66666667,12,2,10,87.00017478,37.20729802,96.84559765,1670
A634,16GD0074,Ames_26771_,5,1,23.52941176,17,4,13,61.47494131,20.08964619,85.20792152,2085
MP339,16GD0075,PI_606329_,5,1,0,17,0,17,-13.61674576,-0.172696925,7.900554165,677.5
IDS69,16GD0076,PI_607521_,5,1,0,19,0,19,3.559854659,-45.54002241,-19.69965823,1302.5
FR4326,16GD0077,Ames_27090_,5,1,16.66666667,18,3,15,NA,NA,NA,192.5
CML331,16GD0078,PI_587128_,5,1,0,19,0,19,-41.24665573,30.56648446,10.43194506,2487.5
A554,16GD0079,Ames_27145_,5,1,5.263157895,19,1,18,2.416816362,-18.52687169,2.016587127,1045
WF9,16GD0080,Ames_27111_,5,1,52.63157895,19,10,9,7.628511231,-31.67413477,12.28614409,852.5
A632,16GD0081,Ames_27114_,5,1,0,18,0,18,69.05054986,19.62540012,92.75056354,1735
CML287,16GD0082,011:196-3,5,1,NA,NA,NA,NA,-39.70003998,24.34405348,6.355674857,NA
CQ183,16GD0083,Ames_24734_,5,1,0,19,NA,NA,NA,NA,NA,2582.5
B76,16GD0084,011:292-5,5,1,0,10,NA,NA,37.0049393,7.617115858,-25.04577874,527.5
N7A,16GD0085,Ames_19309_,5,1,0,18,0,18,40.00976945,1.134412308,26.88151559,1797.5
D940Y,16GD0086,Ames_27164_,5,1,31.25,16,5,11,-5.538614148,-9.050781136,2.77914235,1105
B164,16GD0087,Ames_31537_,5,1,0,20,0,20,17.10287692,-11.84485125,3.922865881,752.5
K64,16GD0088,Ames_27106_,5,1,0,6,0,6,0.548189601,-15.75984487,8.655854412,NA
MOG,16GD0089,Ames_27180_,5,1,0,18,0,18,2.498126111,-21.80138186,10.27345495,562.5
A641,16GD0090,Ames_27169_,5,1,0,14,0,14,42.55263735,7.271609976,62.37554149,1125
KI43,16GD0091,PI_587129_,6,1,0,9,NA,NA,-39.79411834,20.00301782,1.636327476,2407.5
NC352,16GD0092,011:196-1,6,1,0,14,0,14,-67.69003286,57.93511863,-7.710366151,592.5
FR4326,16GD0093,Ames_32364_,6,1,0,19,0,19,NA,NA,NA,160
NC33,16GD0094,PI_587136_,6,1,0,12,0,12,-5.479865221,-14.8885983,4.06903586,1042.5
CML158Q,16GD0095,Ames_27174_,6,1,0,19,0,19,-41.42384935,25.38461621,4.223433692,1012.5
KI3,16GD0096,PI_606330_,6,1,0,0,NA,NA,-44.27741348,32.19240894,-1.445472668,NA
VA7,16GD0097,PI_595550_,6,1,0,0,NA,NA,NA,NA,NA,NA
CML333,16GD0098,Ames_28186_,6,1,15,20,3,17,-35.03320134,22.29718081,3.22450145,1670
CQ184A,16GD0099,Ames_27128_,6,1,0,8,NA,NA,NA,NA,NA,NA
NC264,16GD0100,Ames_24989_,6,1,0,19,0,19,-25.4276627,-1.405760107,3.483882038,1732.5
MO18W,16GD0101,Ames_22763_,6,1,0,19,0,19,-29.23663967,2.642587889,3.956546615,935
T8,16GD0102,Ames_27189_,6,1,0,19,0,19,-3.295592017,-24.76071965,-4.994846272,542.5
81-1,16GD0103,Ames_27155_,6,1,0,13,0,13,NA,NA,NA,497.5
KUI2021,16GD0104,011:292-5,6,1,0,15,0,15,NA,NA,NA,1172.5
B73,16GD0105,Ames_20140_,6,1,0,16,0,16,121.3614021,78.3082649,-44.57608555,900
CML108,16GD0106,PI_506247_,6,1,47.36842105,19,9,10,-32.38015847,16.11018917,-1.961658627,1287.5
CML45,16GD0107,Ames_27163_,6,1,0,7,NA,NA,-45.7654105,27.75622987,3.472091228,1125
MS1334,16GD0108,PI_608766_,6,1,0,18,NA,NA,-0.721162342,-18.99898589,-4.435317794,2535
B79,16GD0109,Ames_24752_,7,1,0,17,0,17,23.39999554,-16.95957966,22.64045478,850
NC334,16GD0110,Ames_27076_,7,1,15,20,3,17,NA,NA,NA,2487.5
TZI9,16GD0111,Ames_27082_,7,1,55.55555556,18,10,8,-39.8778595,26.02823188,5.645261509,1895
